id,expiration_time,pokemon_id,lat,long
4721751,1469532728,32,51.528458,-.268974
4721752,1469532662,81,51.530102,-.268805
4990759,1469532975,129,51.534391,-.261285
3362866,1469532569,118,51.529157,-.250175
3267770,1469532593,129,51.530714,-.252125
3267768,1469532746,129,51.530877,-.252403
29813791,1469540813,39,51.476782,-.029705
28299149,1469540401,13,51.476622,-.000320
28796110,1469540402,13,51.476622,-.000320
29790146,1469540977,13,51.476704,-.000137
28299153,1469540584,133,51.477689,-.000045
28796112,1469540585,133,51.477689,-.000045
29790142,1469541068,72,51.478674,-.000503
28829069,1469540828,35,51.479084,-.000320
29838860,1469540414,98,51.474815,-.011668
28434526,1469540712,92,51.475637,.000777
29851454,1469541017,72,51.477196,.003889
28713252,1469540619,10,51.467593,.008280
28220751,1469540504,10,51.475469,.026957
29957942,1469540749,13,51.470625,.032079
29830348,1469540983,13,51.476939,.050772
29887732,1469540984,13,51.476939,.050772
29504520,1469540789,86,51.476518,.070655
29768710,1469540764,133,51.477170,.077898
29167720,1469540942,127,51.474214,.080639
30141709,1469540526,98,51.467218,-.355952
28320217,1469540527,98,51.467218,-.355952
28451420,1469540556,97,51.457816,-.371128
30012732,1469540378,48,51.463428,-.360972
29428872,1469540806,97,51.467248,-.346092
30235653,1469541221,43,51.466445,-.339816
28782029,1469540487,48,51.465753,-.351878
30234414,1469540538,124,51.466058,-.331797
29615777,1469540405,54,51.463137,-.319606
29264201,1469540953,13,51.462981,-.316658
28548922,1469540560,10,51.458495,-.306298
27873486,1469540561,10,51.458495,-.306298
28660953,1469540697,17,51.458989,-.305751
28775601,1469540742,7,51.458583,-.303814
30167818,1469540743,7,51.458583,-.303814
29534076,1469540474,17,51.460712,-.305586
29712273,1469540475,17,51.460712,-.305586
30117428,1469541060,92,51.463263,-.303220
29887055,1469540432,92,51.465537,-.279592
29482314,1469540400,120,51.458724,-.243478
29482315,1469540535,129,51.458888,-.243663
29613713,1469540686,92,51.463353,-.226697
29624963,1469540948,118,51.468457,-.218466
29624964,1469540823,129,51.468621,-.218743
29831007,1469540595,13,51.463065,-.204735
29831006,1469540392,92,51.462984,-.204367
29831003,1469540938,13,51.462821,-.203723
28653925,1469540705,121,51.464986,-.184726
28438671,1469540706,121,51.464986,-.184726
28653926,1469540673,118,51.465233,-.183993
28221967,1469540674,118,51.465233,-.183993
29070852,1469540825,60,51.465398,-.183719
28865796,1469540826,60,51.465398,-.183719
29070853,1469540829,54,51.465809,-.183078
28865798,1469540830,54,51.465809,-.183078
29556169,1469541049,129,51.466878,-.181708
28436934,1469540722,72,51.467125,-.181250
29893553,1469540737,129,51.467865,-.180612
29393837,1469540738,129,51.467865,-.180612
29953835,1469541154,10,51.457263,-.190183
28602850,1469540781,79,51.463914,-.187749
30179242,1469540758,22,51.463370,-.167731
30179237,1469541036,46,51.464194,-.165349
29976158,1469540549,13,51.464453,-.156264
30035568,1469541145,60,51.459216,-.143666
29218701,1469540940,118,51.459792,-.143027
29218703,1469540811,60,51.459956,-.142477
28708462,1469540812,60,51.459956,-.142477
29604063,1469540546,13,51.458707,-.156783
29639200,1469540717,52,51.457998,-.132654
29639199,1469540974,7,51.459557,-.133395
29296803,1469540975,7,51.459557,-.133395
29921864,1469540596,48,51.466551,-.115543
27358124,1469540381,17,51.461959,-.112407
28701551,1469540498,46,51.464501,-.114526
29226429,1469540516,100,51.464671,-.107650
29012884,1469540517,100,51.464671,-.107650
28749395,1469540751,39,51.457613,-.108539
28411269,1469540571,10,51.466983,-.090974
28022610,1469540473,13,51.461086,-.074555
28022609,1469540607,37,51.461251,-.073548
28686933,1469540761,90,51.463141,-.068606
28801869,1469540808,81,51.461176,-.060084
29435873,1469540903,13,51.467010,-.045900
28290044,1469540606,120,51.460368,-.027309
27765641,1469540502,74,51.460122,-.025295
28290041,1469540503,74,51.460122,-.025295
28436674,1469540527,86,51.461353,-.026028
29486871,1469540580,120,51.461517,-.024198
28142594,1469540632,17,51.464390,-.021730
28248861,1469540633,17,51.464390,-.021730
29949513,1469540634,17,51.464390,-.021730
30081151,1469540635,17,51.464390,-.021730
29856034,1469540713,54,51.466033,-.013129
29377723,1469540990,54,51.464310,-.011023
27405169,1469540408,120,51.459386,-.004618
29377720,1469540394,7,51.461766,-.010199
27405170,1469540440,79,51.460207,-.005625
29377722,1469540861,60,51.464228,-.010932
29037039,1469540790,92,51.465377,.008828
29997930,1469540915,81,51.457170,.009740
30179734,1469540416,92,51.451090,-.395369
30179733,1469540573,133,51.451331,-.396940
28360335,1469540615,98,51.447518,-.329644
28462880,1469540527,129,51.450714,-.331063
30223402,1469540745,129,51.455238,-.327341
30223401,1469540784,129,51.454992,-.327154
28092376,1469540546,13,51.447529,-.325870
29361726,1469540547,13,51.447529,-.325870
28092377,1469540560,13,51.447937,-.326795
29361723,1469540561,13,51.447937,-.326795
28970829,1469540667,13,51.448926,-.324966
28462884,1469540487,60,51.450801,-.329499
29972008,1469541170,98,51.452131,-.323162
29971002,1469541171,98,51.452131,-.323162
29757510,1469541047,43,51.451613,-.302174
28221962,1469540481,120,51.453662,-.302932
30154384,1469541183,95,51.451781,-.300519
30154381,1469541133,133,51.453423,-.300261
28386616,1469540524,13,51.455898,-.294859
27960990,1469540526,13,51.455898,-.294859
29415042,1469540743,13,51.457538,-.295520
28918346,1469540775,32,51.449411,-.296814
27452590,1469540420,95,51.452439,-.299882
27814686,1469540421,95,51.452439,-.299882
29757508,1469541032,95,51.452850,-.299703
29735248,1469541033,95,51.452850,-.299703
28873907,1469540835,43,51.449745,-.294518
28169074,1469540630,66,51.450976,-.294347
28873906,1469540631,66,51.450976,-.294347
29573767,1469541030,66,51.449501,-.293595
28980138,1469540456,66,51.449340,-.292398
28980139,1469540538,13,51.449260,-.291477
30083127,1469540539,13,51.449260,-.291477
27662059,1469540362,66,51.456702,-.267364
29662241,1469540547,13,51.447346,-.268193
29366315,1469540476,66,51.451309,-.257475
29366313,1469540608,69,51.451805,-.255733
29776977,1469540625,10,51.451082,-.248466
29925124,1469540517,10,51.449864,-.242390
29698381,1469540585,118,51.454793,-.195216
28678736,1469540586,118,51.454793,-.195216
28678743,1469540565,60,51.454957,-.195309
28678741,1469540583,118,51.454632,-.193287
29879567,1469540584,118,51.454632,-.193287
28678744,1469540734,133,51.455043,-.192923
28821080,1469540735,133,51.455043,-.192923
27806261,1469540504,29,51.447411,-.193512
27806259,1469540396,106,51.448557,-.194989
30050122,1469540397,106,51.448557,-.194989
30214807,1469541029,106,51.448722,-.194348
30050120,1469541030,106,51.448722,-.194348
30214808,1469540757,90,51.448805,-.193797
30050121,1469540758,90,51.448805,-.193797
30214806,1469541091,106,51.448889,-.192696
30050119,1469541092,106,51.448889,-.192696
28678739,1469540554,129,51.453485,-.192361
29879569,1469540555,129,51.453485,-.192361
28678738,1469540547,118,51.453894,-.192731
27753842,1469540548,118,51.453894,-.192731
29879564,1469540549,118,51.453894,-.192731
29327307,1469540882,129,51.456008,-.150254
29198904,1469540772,118,51.452478,-.151336
29198905,1469540841,92,51.453708,-.151801
29814755,1469540724,7,51.451939,-.120799
27894686,1469540561,14,51.454165,-.110451
28749391,1469540781,92,51.456300,-.107893
28668997,1469540789,99,51.450149,-.105395
30070908,1469541128,133,51.453837,-.109533
30054499,1469540996,13,51.452691,-.106413
29378618,1469540790,118,51.448934,-.085695
28287076,1469540452,63,51.450505,-.066378
28638521,1469540540,7,51.457564,-.063555
27887376,1469540541,7,51.457564,-.063555
29201831,1469540848,7,51.457073,-.061265
29597945,1469540849,7,51.457073,-.061265
28638519,1469540699,129,51.458467,-.062184
29597942,1469540700,129,51.458467,-.062184
29834723,1469540544,32,51.456090,-.057234
29025167,1469540377,13,51.450343,-.063631
29192255,1469540886,52,51.457901,-.042407
28832450,1469540407,129,51.457006,-.003246
29997070,1469541025,27,51.457335,.004801
29997931,1469540702,54,51.456678,.009191
28320692,1469540432,129,51.456758,.021449
29522359,1469541043,133,51.456175,.050460
27782890,1469540516,13,51.450920,.057132
28343614,1469540448,18,51.449286,.042394
31516103,1469541603,10,51.585082,-.120271
31593573,1469541025,39,51.587484,-.102416
31395458,1469541026,39,51.587484,-.102416
30916638,1469541098,131,51.579778,-.072481
30916642,1469541101,10,51.580600,-.072391
31219278,1469541510,97,51.583808,-.070191
31219276,1469541152,97,51.583150,-.069178
30564280,1469541180,120,51.581097,-.064849
30905602,1469541034,13,51.588417,-.060910
30931846,1469541439,13,51.587185,-.058148
32034084,1469541440,13,51.587185,-.058148
31354801,1469541441,13,51.587185,-.058148
29618319,1469541022,129,51.579464,-.041857
29886835,1469541023,129,51.579464,-.041857
31346934,1469541496,92,51.578559,-.042223
30492333,1469541258,29,51.582594,-.019800
31923509,1469541361,133,51.588020,-.020447
31371604,1469541568,118,51.587198,-.016494
31069227,1469541317,118,51.579553,.006843
31235556,1469541318,118,51.579553,.006843
31069226,1469541430,54,51.580457,.008038
31235555,1469541431,54,51.580457,.008038
31527179,1469541480,29,51.583498,.020720
31300840,1469541517,133,51.588664,.059991
31300837,1469541170,20,51.588170,.060726
30064387,1469541204,48,51.588489,.078669
29943922,1469541101,42,51.589555,.082630
31421937,1469541007,46,51.577395,.069531
30356616,1469541160,129,51.567309,-.392020
30979163,1469541086,39,51.576004,-.397791
30364682,1469541144,11,51.572822,-.364888
32104388,1469541698,10,51.569391,-.357905
32104384,1469541540,39,51.570954,-.357647
31769058,1469541541,39,51.570954,-.357647
30102841,1469541062,122,51.573129,-.315599
30102840,1469541116,122,51.573379,-.314308
30259785,1469541224,29,51.571330,-.311882
30493412,1469541225,29,51.571330,-.311882
31691124,1469541352,109,51.573384,-.312460
31691127,1469541113,13,51.573548,-.312554
31869973,1469541660,60,51.575050,-.303975
30855214,1469541097,48,51.567565,-.305649
31457481,1469541530,133,51.569630,-.267801
31447833,1469541147,13,51.576650,-.253279
31374560,1469540966,129,51.574901,-.223914
31374558,1469541330,13,51.575725,-.222629
30308514,1469541235,133,51.572748,-.185533
31888898,1469541346,32,51.568941,-.145245
31190749,1469541380,100,51.568203,-.143676
31888896,1469541381,100,51.568203,-.143676
30393424,1469541073,147,51.569783,-.128767
31918238,1469541264,52,51.568717,-.126000
29797229,1469541020,106,51.573322,-.124364
31424093,1469541475,129,51.578174,-.122267
30416009,1469541035,47,51.568952,-.136405
31945609,1469541702,124,51.572191,-.103924
31933126,1469541208,54,51.577947,-.102105
31183620,1469541353,13,51.571955,-.091133
30618680,1469540969,54,51.571812,-.057748
30269524,1469540956,13,51.567949,-.055809
31346933,1469541173,55,51.578313,-.042131
30022849,1469541174,55,51.578313,-.042131
30959421,1469541458,46,51.570097,-.023833
30897116,1469541326,100,51.575854,.003352
31632560,1469541511,4,51.573387,.015660
29767258,1469541104,10,51.574702,.015201
31641471,1469541059,10,51.567633,.007758
31641469,1469541207,54,51.568044,.007850
30721290,1469541032,52,51.570669,.038443
30842649,1469541090,109,51.568443,.055259
32326972,1469541217,13,51.568519,.066015
30807074,1469541218,13,51.568519,.066015
32326970,1469541313,46,51.569177,.066293
30807072,1469541314,46,51.569177,.066293
30891387,1469541406,69,51.569009,.072177
31421938,1469540947,48,51.576409,.068333
30383355,1469541023,17,51.575009,.073480
32326974,1469541472,13,51.568930,.065832
31436442,1469541354,46,51.560169,-.363150
29807610,1469540956,7,51.567813,-.363064
32034806,1469541220,95,51.560398,-.341424
32301369,1469541221,95,51.560398,-.341424
31990184,1469541436,13,51.560522,-.355294
31114338,1469541385,13,51.563734,-.353116
31114337,1469541262,133,51.564395,-.352014
31114336,1469541194,10,51.564640,-.352572
32006646,1469541722,20,51.558447,-.334191
31974235,1469541157,52,51.562102,-.320187
31645190,1469541158,52,51.562102,-.320187
31516229,1469541214,10,51.563334,-.320386
31393579,1469541255,124,51.557454,-.306462
31506764,1469541414,54,51.562367,-.280749
31016700,1469541415,54,51.562367,-.280749
31016704,1469541110,92,51.561383,-.279723
31506766,1469541353,129,51.561961,-.278621
31016695,1469541354,129,51.561961,-.278621
31506767,1469541511,129,51.562289,-.279178
31506768,1469541139,118,51.562044,-.278437
31016698,1469541140,118,51.562044,-.278437
31794769,1469541395,46,51.562210,-.277608
29765984,1469541103,43,51.563602,-.279745
29746702,1469541104,43,51.563602,-.279745
29746700,1469541090,32,51.563850,-.279102
29781633,1469541091,32,51.563850,-.279102
31132292,1469541218,118,51.561557,-.275940
30750615,1469541218,22,51.567477,-.274982
31074554,1469541406,32,51.563041,-.273739
31210333,1469541407,32,51.563041,-.273739
30083756,1469541061,92,51.563868,-.271623
30205251,1469541062,92,51.563868,-.271623
31509107,1469541086,17,51.565643,-.206964
32175918,1469541087,133,51.558227,-.167289
32175919,1469541088,133,51.558392,-.166737
30564848,1469541099,116,51.559470,-.160205
31739765,1469541303,90,51.557887,-.174932
31190746,1469541154,100,51.566887,-.144590
31368939,1469541119,90,51.567551,-.139344
30511245,1469541035,95,51.564759,-.137029
31368938,1469541265,13,51.566567,-.137314
32221244,1469541101,32,51.559146,-.156427
32221246,1469541320,35,51.559805,-.155602
29906196,1469541088,10,51.564186,-.135461
